,Unnamed: 0,coef,host_chr,host_start,host_end,host_gene
DEG_ENSG00000272361,23,-0.6948884528628655,chr7,16593626.0,16594224.0,AC005014.2
DEG_ENSG00000272829,43,-0.5662635241335108,chr22,20981361.0,20981755.0,AC002470.1
DEG_ENSG00000273306,22,-0.0955033891216201,chr2,99405218.0,99405843.0,AC018690.1
DEG_ENSG00000273333,17,1.2968269164083308,chr6,32184733.0,32185882.0,AL662884.1
DEG_ENSG00000276704,58,-0.3790340063118193,chr13,97437268.0,97437630.0,AL442067.2
DEG_ENSG00000277423,65,-1.1148376389492534,chr12,120703867.0,120704282.0,AC069234.5
DEG_ENSG00000277771,50,0.1475481412684381,chr22,49846456.0,49846720.0,RF00017
DEG_ENSG00000281969,9,-0.0770878613544742,chr6,39818751.0,39823227.0,AL592158.1
DEG_ENSG00000285931,52,0.2452607461737337,chr17,69242230.0,69244097.0,AC005495.1
PRS,80,2.2092676005585905,,,,
circRNA_chr7_75166536_75166877_minus,38,0.2409028982945036,chr7,75156639.0,75172044.0,ENSG00000165178_NCF1C
eRNA_chr10_6270120_6274350_plus,16,-0.6402963195577165,chr10,6277687.0,6335982.0,ENSG00000215244_AL137145.2
eRNA_chr10_74167470_74167810_plus,8,-0.5981509155348114,chr10,74151185.0,74709303.0,ENSG00000156110_ADK
eRNA_chr11_14892820_14896380_plus,59,0.320012626922851,,,,
eRNA_chr12_100132870_100133910_minus,47,-0.1481491606161224,chr12,100028455.0,100142848.0,ENSG00000111647_UHRF1BP1L
eRNA_chr12_31720940_31722750_minus,31,-0.3965982699995607,chr12,31671137.0,31729174.0,ENSG00000151743_AMN1
eRNA_chr12_98642130_98643600_minus,42,-0.5054330161980282,chr12,98613405.0,98645113.0,ENSG00000166130_IKBIP
eRNA_chr14_68097270_68113000_plus,6,0.396116655241194,chr14,67819779.0,68730218.0,ENSG00000182185_RAD51B
eRNA_chr14_86087220_86088900_plus,13,-0.2586338334974847,chr14,85934710.0,86129778.0,ENSG00000258733_LINC02328
eRNA_chr15_58506420_58506670_minus,79,-0.3472603470432605,chr15,58410569.0,58569843.0,ENSG00000166035_LIPC
eRNA_chr15_63942470_63943050_minus,56,-0.6886018594032063,chr15,63907036.0,64072033.0,ENSG00000035664_DAPK2
eRNA_chr15_69724680_69725110_plus,55,0.3365725702149374,chr15,69463026.0,69843120.0,ENSG00000245750_DRAIC
eRNA_chr15_79961850_79963360_minus,61,-0.0822052338380368,chr15,79960889.0,79971446.0,ENSG00000140379_BCL2A1
eRNA_chr17_30401360_30416350_plus,7,0.4190278737686366,chr17,30378905.0,30469989.0,ENSG00000108582_CPD
eRNA_chr17_3911970_3913120_minus,40,-0.1363903099621,chr17,3896592.0,3916500.0,ENSG00000108405_P2RX1
eRNA_chr17_44114490_44115020_minus,70,0.8775067205261505,chr17,44076746.0,44123702.0,ENSG00000108840_HDAC5
eRNA_chr17_77384530_77385290_plus,35,1.4275059675497772,chr17,77280569.0,77500596.0,ENSG00000184640_SEPT9
eRNA_chr1_149881750_149883230_minus,68,-1.0503685866776922,,,,
eRNA_chr1_51850270_51852340_minus,20,0.280257668696256,chr1,51789191.0,51878937.0,ENSG00000078618_NRDC
eRNA_chr21_44793770_44794360_minus,21,0.1700435368432062,chr21,44768580.0,44802019.0,ENSG00000184787_UBE2G2
eRNA_chr2_25330850_25331780_minus,41,0.9626502244623094,chr2,25227855.0,25342590.0,ENSG00000119772_DNMT3A
eRNA_chr3_99824870_99826710_plus,64,-0.1832336613870518,chr3,99817834.0,100181732.0,ENSG00000184220_CMSS1
eRNA_chr5_100572780_100575170_plus,76,0.1730011775249993,chr5,100535305.0,100586741.0,ENSG00000174132_FAM174A
eRNA_chr5_14444820_14445190_plus,39,-0.3774823967003322,chr5,14143702.0,14532128.0,ENSG00000038382_TRIO
eRNA_chr5_172775050_172775580_minus,32,-0.379111766773292,chr5,172762980.0,172782334.0,ENSG00000253736_AC022217.3
eRNA_chr5_89450450_89450810_plus,53,0.6376716577748452,chr5,88883328.0,89466398.0,ENSG00000248309_MEF2C-AS1
eRNA_chr6_158657000_158657850_plus,29,0.9597775168743616,chr6,158650014.0,158764876.0,ENSG00000164674_SYTL3
eRNA_chr6_24942250_24945730_plus,66,0.160293221323457,chr6,24804281.0,25042170.0,ENSG00000111913_RIPOR2
eRNA_chr6_27834980_27835120_minus,48,0.6029964857038377,,,,
eRNA_chr6_41694020_41695500_minus,0,0.5817752599152654,chr6,41683978.0,41736259.0,ENSG00000112561_TFEB
eRNA_chr7_92652970_92653240_minus,27,-0.6144024049294791,chr7,92604921.0,92836594.0,ENSG00000105810_CDK6
eRNA_chr7_92723590_92724540_minus,60,-0.5004236561130909,chr7,92604921.0,92836594.0,ENSG00000105810_CDK6
eRNA_chr8_116727120_116727930_minus,49,-0.0460875587277196,chr8,116642130.0,116766925.0,ENSG00000147677_EIF3H
eRNA_chr8_120677370_120681780_minus,77,-0.2344463832413446,chr8,120535745.0,120813273.0,ENSG00000172164_SNTB1
eRNA_chr9_136540010_136540660_plus,75,-0.0161251172818578,chr9,136494433.0,136545786.0,ENSG00000148400_NOTCH1
eRNA_chr9_3574670_3576870_plus,33,-0.0796299178185931,chr9,3526723.0,3691814.0,ENSG00000232104_RFX3-AS1
eRNA_chrX_19556240_19558190_minus,24,0.7619867099546944,chrX,19533975.0,19887601.0,ENSG00000147010_SH3KBP1
eRNA_chrX_41710310_41712590_minus,44,-0.4084164736465795,chrX,41514934.0,41923645.0,ENSG00000147044_CASK
