"ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"hsa04140" "hsa04140" "Autophagy - animal" "57/1658" "141/8192" 2.59388413759435e-08 7.82881394255749e-07 5.11330270186063e-07 "29982/3920/23710/5894/58528/8837/64121/81671/5594/5595/51100/5861/207/5728/9821/64422/83452/11337/8878/8660/3091/1613/23604/10010/4218/1509/5515/8678/64419/572/84557/9342/29110/5293/3916/596/23130/10645/58476/203228/5296/3708/3476/10000/89849/5580/440275/5290/9706/643246/8408/8897/7879/7189/9140/2475/57521" 57
"hsa05131" "hsa05131" "Shigellosis" "86/1658" "247/8192" 4.2295506989409e-08 1.17017569337365e-06 7.64287231563005e-07 "1398/7099/837/58528/64121/3678/29108/387/3059/10552/7321/10094/27128/5879/10092/8945/5594/5595/7316/207/10093/10109/4792/9266/7132/3553/10627/10096/998/8915/10095/8878/1432/6093/87/834/1147/103910/10097/114548/8678/84557/653857/5336/581/5216/29110/5293/5335/929/596/7323/7335/10616/5296/3708/7188/10000/3725/58484/5580/3606/5603/57180/960/5290/3101/3611/9181/643246/10392/8767/8517/71/7189/81/4793/60/9140/51619/2475/5829/55072/57521/11335/5581" 86
"hsa05169" "hsa05169" "Epstein-Barr virus infection" "73/1658" "202/8192" 8.23451470433893e-08 2.10296837064656e-06 1.37353038793022e-06 "3133/8772/6416/637/9541/3454/5879/4616/841/207/1027/4792/7097/79685/317/953/355/7297/5719/842/1432/5700/6774/11047/1147/4067/3107/1021/5336/8900/6850/581/3105/567/29110/7187/578/5293/3716/22938/6890/3516/596/7431/3383/5713/5296/9861/3123/3106/7188/10000/3725/965/916/5603/3134/5704/960/5290/5971/3122/3108/4794/3115/8517/5714/10379/7189/4793/3113/695/3665" 73
"hsa04210" "hsa04210" "Apoptosis" "54/1658" "136/8192" 1.22977197808044e-07 2.91631640516219e-06 1.90475960514715e-06 "27113/8772/637/5894/8837/1439/1520/4170/4616/5594/5595/841/7846/207/8743/4792/317/4001/4217/355/7132/7277/10376/1649/842/8795/1147/27429/1509/572/5366/581/578/5293/468/1522/596/7185/84790/5296/3708/597/331/3563/10000/3725/6709/56616/5290/8517/4914/71/60/1512" 54
"hsa05130" "hsa05130" "Pathogenic Escherichia coli infection" "71/1658" "197/8192" 1.40232847387906e-07 2.92704323613657e-06 1.91176571542211e-06 "2212/8772/7009/9071/7099/837/29108/387/3059/10552/10094/27128/5879/10092/5594/5595/841/7846/5861/10093/10109/8743/4792/10672/355/4542/9266/7132/3553/7277/10376/10096/998/10095/2597/842/1432/100506658/8795/6093/834/1147/10097/114548/10006/5058/84617/653857/581/578/10383/84790/4642/5777/3725/7122/10061/3606/5603/57180/9181/9368/2768/8517/9170/71/7189/4793/60/2534/9826" 71
"hsa04370" "hsa04370" "VEGF signaling pathway" "30/1658" "59/8192" 1.4864929091034e-07 2.92704323613657e-06 1.91176571542211e-06 "5894/5879/5594/5595/207/7867/998/842/1432/5579/5530/8877/572/5880/4773/5336/5293/9261/5335/7422/5321/5296/5532/10000/5743/5603/5290/5578/5533/5829" 30
"hsa05170" "hsa05170" "Human immunodeficiency virus 1 infection" "75/1658" "212/8192" 1.49878719922656e-07 2.92704323613657e-06 1.91176571542211e-06 "3133/8772/1398/7099/637/5894/200315/2787/5879/8945/2773/5594/5595/841/2783/207/4792/7097/355/2771/7133/7132/842/1432/5579/7852/1147/5530/2790/5058/805/572/5880/3985/2776/3107/4773/59345/5336/581/3105/567/29110/578/5293/6890/5335/596/1072/1174/808/5296/3708/3106/5532/7188/10000/3725/2782/916/9730/5603/3134/545/5290/8905/8450/8517/5578/5533/7189/140564/684/2475/5829" 75
"hsa04670" "hsa04670" "Leukocyte transendothelial migration" "47/1658" "114/8192" 2.15298330462299e-07 3.97105809519352e-06 2.59365240206045e-06 "4688/9071/4689/7408/1535/387/4318/5879/2773/83593/653361/2771/7409/10627/998/1432/100506658/6093/5579/7852/87/103910/5880/5336/5175/5293/5335/3383/5296/6494/10451/2909/7122/3702/1500/3676/50848/5603/5290/3689/5906/3684/5578/71/81/60/5829" 47
"hsa04621" "hsa04621" "NOD-like receptor signaling pathway" "66/1658" "184/8192" 4.71440966029138e-07 7.99836524378601e-06 5.22404324736816e-06 "91662/8772/10135/7099/837/118429/23710/171389/1535/29108/6041/387/3454/5594/5595/841/4210/4792/7297/3553/11337/140609/2919/1432/79671/834/1147/10010/114548/7295/84557/10628/90550/114769/29110/7187/5586/56919/3716/596/9051/84674/2634/55914/10616/3708/331/7188/3725/58484/64127/79792/5580/3606/5603/643246/10392/8767/8517/10379/7189/10910/4793/9140/55072/3665" 66
"hsa05163" "hsa05163" "Human cytomegalovirus infection" "77/1658" "225/8192" 4.81829231553374e-07 7.99836524378601e-06 5.22404324736816e-06 "3588/3133/8772/1398/637/5894/387/2885/3570/2787/5879/2773/5594/5595/3579/841/2783/207/4792/10672/355/2771/7132/3553/842/1432/6655/6093/6774/5579/7852/1147/5530/2790/5734/805/5880/2776/3107/1021/4773/59345/581/10488/6667/1978/3105/567/29110/578/1385/5293/3716/468/6890/9586/7422/808/5296/3708/3106/5532/7188/10000/5743/2782/5603/3134/5290/2768/8517/5578/5533/109/2475/9826/5829" 77
"hsa04664" "hsa04664" "Fc epsilon RI signaling pathway" "32/1658" "68/8192" 5.62308459642135e-07 8.88982898100899e-06 5.80629286648019e-06 "241/6416/5894/2885/5879/5594/5595/207/7409/240/1432/6655/9846/2207/2206/4067/5880/5336/2205/6850/5293/5335/3937/5321/5296/10000/10451/5603/5290/5578/2534/695" 32
"hsa04625" "hsa04625" "C-type lectin receptor signaling pathway" "43/1658" "104/8192" 6.39980480054527e-07 9.65788724445923e-06 6.30794157374319e-06 "5894/29108/387/26253/5594/5595/3659/841/207/4792/64581/3553/4046/8915/1432/2207/834/1147/602/5530/114548/5058/805/4773/5336/6850/5293/9261/808/5296/3708/5532/10000/3725/5743/5580/5603/5290/5971/868/8517/5533/10379" 43
"hsa04071" "hsa04071" "Sphingolipid signaling pathway" "47/1658" "119/8192" 9.60725265265363e-07 1.3867860350787e-05 9.0576386565064e-06 "637/5894/8698/427/387/5879/2773/5594/5595/29956/8560/207/5728/55012/10672/4217/2771/7132/1432/9846/2207/6093/8439/2206/5579/8877/1509/5515/5880/2776/5590/2205/581/5525/5293/10558/596/9517/5296/10000/5603/5290/55844/2768/5578/2534/5581" 47
"hsa04141" "hsa04141" "Protein processing in endoplasmic reticulum" "61/1658" "171/8192" 1.57864676882464e-06 2.02901477472927e-05 1.3252284197661e-05 "55741/3310/10134/7321/23645/54788/5611/6184/10960/4217/6400/1649/22872/3303/22926/10956/4780/91445/51360/5887/3305/1603/3301/581/10970/118424/578/56681/55968/51035/468/5071/596/6396/30001/7323/80331/10952/6746/5034/9709/440275/51009/11231/7326/6745/80267/10483/56893/3337/7415/27102/10273/57134/4121/51465/25956/51619/23190/10294/8720" 61
"hsa05164" "hsa05164" "Influenza A" "61/1658" "171/8192" 1.57864676882464e-06 2.02901477472927e-05 1.3252284197661e-05 "3460/8772/7099/637/5894/29108/6041/3454/5594/5595/841/5611/207/3459/8743/4792/317/355/7297/7132/3553/4928/842/79671/8795/5579/834/1147/114548/1021/581/29110/7187/578/5293/3716/3383/5296/7706/3123/10000/3836/3606/3717/5290/8766/3337/3122/3108/292/3115/8517/5578/71/10379/23633/4793/60/3113/8106/3665" 61
"hsa05140" "hsa05140" "Leishmaniasis" "34/1658" "77/8192" 1.58898747418557e-06 2.02901477472927e-05 1.3252284197661e-05 "3460/2212/4688/4689/7099/1535/2215/5594/5595/3459/653361/4792/7097/3553/2214/1432/5579/3716/3123/5777/3725/5743/3676/5603/3717/3122/3689/3108/3684/3115/1378/7189/4793/3113" 34
"hsa05418" "hsa05418" "Fluid shear stress and atherosclerosis" "52/1658" "139/8192" 1.83406302669087e-06 2.25521824022729e-05 1.47297069589988e-05 "4688/6416/1535/387/4318/5879/7056/207/7850/90/653361/4217/10365/7132/3553/8878/1432/1147/1843/4780/7295/805/5880/5590/7341/5175/5293/5607/596/7422/4258/3383/808/5296/6613/10000/9446/3725/2941/5603/5327/2950/9817/5290/9181/387082/8517/71/659/60/92/2946" 52
"hsa04722" "hsa04722" "Neurotrophin signaling pathway" "46/1658" "119/8192" 2.53095136303629e-06 3.00098518760018e-05 1.96006007814089e-05 "397/1398/5894/387/5663/2885/5879/6195/5594/5595/10782/207/4792/4217/998/1432/6655/10603/27018/805/572/5336/581/5293/9261/5607/468/5335/596/808/5296/818/10000/3725/57498/5580/2549/5603/5290/5906/4794/8767/4914/7189/4793/3656" 46
"hsa05223" "hsa05223" "Non-small cell lung cancer" "32/1658" "72/8192" 2.69842190179007e-06 3.08922783239415e-05 2.0176947795599e-05 "5894/2885/4616/5594/5595/6789/83593/207/6777/842/2272/6655/6774/5579/572/1021/5336/7039/3082/581/578/5293/6776/5335/5296/6256/10000/6257/3799/5290/5578/27436" 32
"hsa05235" "hsa05235" "PD-L1 expression and PD-1 checkpoint pathway in cancer" "37/1658" "89/8192" 3.27966193920965e-06 3.62949254605868e-05 2.37056266483224e-05 "3460/7099/5894/1459/5594/5595/207/3459/5728/4792/7097/1432/3091/6774/1147/5530/4773/5293/3716/5335/10125/5296/5777/5532/10000/3725/916/5603/3717/5290/4794/8517/5533/7189/4793/27436/2475" 37
"hsa05120" "hsa05120" "Epithelial cell signaling in Helicobacter pylori infection" "31/1658" "70/8192" 4.2265556475664e-06 4.52650475803886e-05 2.95643620848448e-05 "533/3577/6416/8992/5879/9114/526/3579/4792/529/523/998/2919/1432/535/1147/528/10312/4067/5058/537/5336/51382/5335/102/3725/50848/5603/9296/10392/8517" 31
"hsa05014" "hsa05014" "Amyotrophic lateral sclerosis" "109/1658" "364/8192" 4.37414970931863e-06 4.53818032341808e-05 2.96406197407776e-05 "8021/29982/5691/637/5879/10762/7846/5861/4712/317/9821/4217/7133/6390/7132/2733/7277/10376/4928/6392/9818/5719/8878/1649/842/1432/5700/22926/11047/10126/834/10010/283/5530/4218/8678/572/84557/84617/5692/25978/1329/23064/11258/23511/581/5868/5216/90550/220988/1351/29110/468/5071/596/23130/6396/10383/203228/5713/84790/9861/55860/4716/5532/4710/10476/10121/81929/23279/4927/3799/7384/5603/4695/5704/89953/1768/9706/56893/5688/7415/5693/643246/8408/6311/129401/7175/4709/54539/515/64446/1327/5715/9972/5533/5714/71/4694/4705/60/517/310/84134/2521/51079/2475/23225/5682" 109
"hsa05221" "hsa05221" "Acute myeloid leukemia" "30/1658" "67/8192" 4.57348768462078e-06 4.6012057918003e-05 3.00522635735847e-05 "5894/1050/2885/5594/5595/207/6688/1848/6777/6655/6774/1147/572/5914/8900/1978/5293/6776/929/5296/597/10000/2322/6934/5290/6932/3815/3684/8517/2475" 30
"hsa04659" "hsa04659" "Th17 cell differentiation" "42/1658" "108/8192" 5.73024944738925e-06 5.59542004862715e-05 3.65458633486745e-05 "3460/7048/3570/5594/5595/3556/3459/4792/7297/3553/6777/4088/1432/3091/6778/6774/1147/5530/5914/4773/7046/3716/6776/5335/3123/6256/5532/3725/2625/6257/916/5603/3717/3122/3108/4794/3115/8517/5533/4793/3113/2475" 42
"hsa04668" "hsa04668" "TNF signaling pathway" "43/1658" "112/8192" 6.55588148004654e-06 6.21872186107272e-05 4.06168897711154e-05 "8772/6416/8837/4318/5594/5595/3659/841/3726/207/4792/4217/355/7133/7132/3553/1051/2919/1432/1147/602/1326/83737/8809/10488/6372/7187/1385/5293/468/9586/197259/7185/3383/5296/7188/10000/3725/5743/64127/5603/5290/8517" 43
"hsa04062" "hsa04062" "Chemokine signaling pathway" "64/1658" "192/8192" 1.17766847197214e-05 0.000108607203526319 7.09355863234679e-05 "3577/1398/5894/387/2885/5294/2787/5879/2773/5594/5595/3579/2783/207/653361/4792/2771/7409/409/6777/58191/998/3055/2919/57580/6655/6093/6774/5579/7852/1147/729230/2790/4067/5058/572/5880/2776/59345/5336/5590/6372/5293/7454/2870/5335/2268/5296/10000/2869/10451/2782/3702/7074/5580/3717/5290/156/56477/5906/8517/4793/109/5829" 64
"hsa05161" "hsa05161" "Hepatitis B" "56/1658" "162/8192" 1.24083117636855e-05 0.000111339446095772 7.27201201513287e-05 "7048/8772/6416/7099/637/5894/2885/3454/4318/5594/5595/841/207/4792/7097/317/355/7297/6777/1654/4088/842/1432/6655/6778/6774/5579/1147/7534/572/4773/537/8900/7046/581/10488/29110/7187/1385/5293/3716/6776/468/9586/596/5296/10000/3725/7529/5603/3717/5290/8517/5578/7189/3665" 56
"hsa05166" "hsa05166" "Human T-cell leukemia virus 1 infection" "71/1658" "222/8192" 1.98463267966671e-05 0.000173394223591934 0.000113250507482366 "7048/3133/6416/25847/5594/5595/207/6688/7850/5728/4792/2114/7132/7538/706/6777/4088/8881/5423/1147/5530/6722/3107/4773/51529/8900/7046/10524/581/10488/3105/567/1385/5293/3716/6776/468/9586/2113/3383/5296/331/64784/3123/3106/5532/4055/10000/3725/64682/916/8295/1739/3134/545/5290/5971/3122/3689/3108/292/2005/3115/8517/5533/246184/3113/1030/6908/109/29945" 71
"hsa04142" "hsa04142" "Lysosome" "47/1658" "132/8192" 2.57999539144515e-05 0.000219630376912767 0.000143449136474413 "533/4758/9516/3920/967/427/1520/9114/10577/4891/6556/3074/535/10717/2717/1509/10312/537/10947/1211/3916/2629/84572/9741/1522/7805/3482/256471/5538/1174/22901/4864/1176/26503/8692/2799/5476/23335/8905/2720/410/5660/8763/3423/968/1512/8546" 47
"hsa04660" "hsa04660" "T cell receptor signaling pathway" "39/1658" "104/8192" 3.27317603450342e-05 0.000271673610863784 0.000177440595554659 "5894/387/2885/5594/5595/207/4792/7409/5788/998/8915/1432/6655/1147/5530/5058/4773/1326/5293/5335/3937/10125/5296/5777/5532/10000/3725/10451/3702/916/5603/1739/5290/868/4794/8517/5533/4793/2534" 39
"hsa01524" "hsa01524" "Platinum drug resistance" "30/1658" "73/8192" 3.57162207468858e-05 0.000289214275316246 0.000188897085336546 "27113/8772/637/5594/4437/5595/841/207/672/317/4217/355/842/572/5366/581/578/5293/596/4258/5296/331/10000/9446/2941/2950/5290/2067/538/2946" 30
"hsa05134" "hsa05134" "Legionellosis" "25/1658" "57/8192" 4.33644310762418e-05 0.000342785502793149 0.000223886536383604 "7099/3310/29108/841/5861/4792/7097/317/3553/842/3303/2919/834/3305/56681/929/9554/58484/57396/3606/1195/7415/3689/3684/1378" 25
"hsa05203" "hsa05203" "Viral carcinogenesis" "65/1658" "204/8192" 5.00889204671594e-05 0.000386733060351091 0.000252590394522273 "3133/387/2885/5879/9114/5594/5595/841/1027/4792/55869/6777/998/1654/5700/10014/2959/5423/6774/87/3190/7534/6722/4067/572/3107/1021/5366/8900/6850/581/10488/3105/7187/578/1385/5293/3716/9261/6776/22938/468/9586/3516/7185/5296/3106/7188/4055/3725/7529/2934/9734/1739/3134/5290/8517/10379/81/1030/6908/2960/5829/3665/2958" 65
"hsa05162" "hsa05162" "Measles" "48/1658" "139/8192" 5.24335875394487e-05 0.000395635251434022 0.000258404761558049 "27113/8772/7099/637/3310/2213/3454/1459/841/207/1027/4179/4792/7097/317/355/7297/3553/6777/842/3303/6774/1147/572/1021/3305/581/29110/7187/578/5293/3716/6776/596/5296/10000/3725/916/440275/6504/5290/868/27102/8517/10379/7189/4793/3665" 48
"hsa05210" "hsa05210" "Colorectal cancer" "33/1658" "86/8192" 7.67432341684146e-05 0.000566194527642525 0.000369803654706279 "27113/7048/5894/387/2885/5879/4616/5594/4437/5595/5899/324/207/4088/842/6655/572/5880/5366/7039/7046/581/578/5293/596/5296/10000/3725/5900/6934/5290/6932/2475" 33
"hsa05145" "hsa05145" "Toxoplasmosis" "40/1658" "112/8192" 9.34517335518102e-05 0.000674477729113065 0.000440527622692744 "3588/3460/7099/3310/10105/5294/2773/5594/5595/841/207/3459/4792/7097/2771/7297/7132/240/842/3303/1432/6774/1147/572/3305/23643/3716/596/331/3123/10000/5603/3717/3122/3108/3115/8517/7189/4793/3113" 40
"hsa04611" "hsa04611" "Platelet activation" "43/1658" "124/8192" 0.000113434597655252 0.000801282689820078 0.000523348871600939 "2212/7408/387/5294/2773/5594/5595/8773/207/10672/6916/2771/10627/1432/2207/6093/103910/5499/4067/2776/5336/5590/6850/4659/5293/54518/3937/10125/5321/5296/3708/10000/4638/2909/5603/5290/5906/71/5023/60/2534/109/695" 43
"hsa01521" "hsa01521" "EGFR tyrosine kinase inhibitor resistance" "30/1658" "79/8192" 0.000199194698062273 0.00135056160543279 0.000882104282559145 "5894/2885/3570/5594/5595/207/2621/5728/6655/6774/5579/572/5336/7039/3082/581/1978/5293/3716/5335/596/7422/5296/10000/2549/3717/5290/5578/9470/2475" 30
"hsa04070" "hsa04070" "Phosphatidylinositol signaling system" "35/1658" "97/8192" 0.000199329875500622 0.00135056160543279 0.000882104282559145 "55529/253430/3632/5728/9107/90809/5579/9677/160851/80271/64419/805/9807/5336/3705/8760/1606/5293/5335/808/5296/3708/3613/56623/5287/5290/4952/8526/55613/8897/79837/8395/51447/5578/10423" 35
"hsa05212" "hsa05212" "Pancreatic cancer" "29/1658" "76/8192" 0.000229654871974962 0.00150264279594209 0.000981434419670483 "7048/5894/5879/4616/5594/5595/5899/207/998/4088/842/6774/1147/572/5880/1021/7039/7046/581/578/5293/3716/7422/5296/10000/5900/5290/8517/2475" 29
"hsa05211" "hsa05211" "Renal cell carcinoma" "27/1658" "69/8192" 0.000230827658412791 0.00150264279594209 0.000981434419670483 "54583/1398/112398/5894/2885/5879/5594/5595/207/998/6655/3091/5058/572/7030/7039/3082/5293/7422/7428/2113/5296/10000/3725/2549/5290/5906" 27
"hsa04066" "hsa04066" "HIF-1 signaling pathway" "38/1658" "109/8192" 0.000245502890703535 0.00156744153295334 0.00102375699362203 "3460/54583/112398/7099/3570/5594/5595/5230/207/3459/1027/226/2597/3091/6774/5579/7076/5336/1978/5293/2872/5335/596/7422/7428/5296/818/4055/10000/5290/3101/284/3939/5209/2026/5578/9470/2475" 38
"hsa05100" "hsa05100" "Bacterial invasion of epithelial cells" "29/1658" "77/8192" 0.000298264687855521 0.00186837502581194 0.00122030835547641 "1398/3678/387/3059/10552/10094/5879/10092/10093/10109/391/10096/998/10095/10097/653857/1211/5293/1785/5296/10459/2549/79658/57180/5290/3611/71/60/5829" 29
"hsa04658" "hsa04658" "Th1 and Th2 cell differentiation" "33/1658" "92/8192" 0.000340098179436523 0.00207716031876599 0.00135667414605515 "3460/5594/5595/3459/4792/7297/6777/1432/6778/1147/5530/4773/55534/3716/6776/3516/5335/3123/5532/3725/2625/916/5603/3717/4851/3122/3108/4794/3115/8517/5533/4793/3113" 33
"hsa05416" "hsa05416" "Viral myocarditis" "24/1658" "60/8192" 0.00034410788413292 0.00207716031876599 0.00135667414605515 "3133/637/5879/841/842/5880/3107/1604/3105/3383/3123/3106/942/6443/3134/3122/3689/3108/3115/71/60/3113/2534/941" 24
"hsa05110" "hsa05110" "Vibrio cholerae infection" "21/1658" "50/8192" 0.00036374203161649 0.00215647061601205 0.00140847478407889 "533/8992/9114/526/529/523/535/528/10312/537/5336/51382/5335/6558/30001/10952/9296/5578/71/60/109" 21
"hsa04064" "hsa04064" "NF-kappa B signaling pathway" "36/1658" "104/8192" 0.000413616094927753 0.00240913234238621 0.00157349797885719 "8740/7099/8837/1459/4616/4792/7132/3553/1896/8915/2919/5579/1147/10673/23085/4067/5336/6850/7187/23643/5335/929/596/7185/3383/597/331/7706/7188/4055/5743/5971/8517/7189/128178/695" 36
"hsa03013" "hsa03013" "Nucleocytoplasmic transport" "37/1658" "108/8192" 0.000435563053419759 0.00249322299543724 0.00162842085307569 "8021/55705/57510/10762/23214/55161/2733/25909/4928/9818/26019/23511/7341/8563/6396/3837/64328/65110/6613/81929/9775/23279/4927/3836/10284/5976/59343/129401/7175/23534/387082/23039/3840/9972/23633/3842/23225" 37
"hsa04650" "hsa04650" "Natural killer cell mediated cytotoxicity" "43/1658" "131/8192" 0.000447929869724281 0.00252055452116036 0.0016462721349367 "7305/3460/3133/637/5894/2885/3454/5879/2215/5594/5595/3459/8743/355/7409/2214/6655/8795/2207/5579/5530/5058/5880/3107/4773/5336/6850/3105/5293/5335/3937/3383/5296/5777/3106/5532/10451/5290/3689/5578/5533/2534/4277" 43
"hsa05010" "hsa05010" "Alzheimer disease" "104/1658" "384/8192" 0.000574647063860693 0.00317792981237075 0.00207562949064165 "55851/23401/10023/29982/8772/5691/637/5894/10105/5663/4311/1459/5594/5595/10313/841/324/7846/207/4712/317/9821/4217/355/6390/7132/3553/27173/7277/10376/4891/51107/6392/5719/1649/2597/842/8660/5700/8851/22926/11047/1147/5530/8678/805/572/84617/5692/2776/1329/7922/90550/1351/5293/468/488/23130/10383/808/5713/84790/5296/9861/3708/4716/102/5532/10000/25800/5743/4710/10476/83464/57142/3799/7384/4695/5704/89953/5290/29985/9706/5688/23516/5693/8408/4709/292/54539/515/1327/8517/5715/5533/5714/4694/4705/517/102800317/778/51079/2475/5682" 104
"hsa04218" "hsa04218" "Cellular senescence" "49/1658" "156/8192" 0.000587892979858698 0.00317792981237075 0.00207562949064165 "7048/3133/5894/4616/8945/5594/5595/83593/207/5728/55957/8878/4088/1432/5530/5499/805/3107/3364/1021/4773/8900/10114/7046/1978/3105/90550/5293/9261/677/2113/4683/808/5296/3708/3106/5532/10000/132660/1875/5603/3134/545/5290/292/5533/1030/144715/2475" 49
"hsa05142" "hsa05142" "Chagas disease" "35/1658" "102/8192" 0.000595022732048015 0.00317792981237075 0.00207562949064165 "3460/7048/8772/6416/7099/8837/10333/2773/5594/5595/841/207/3459/4792/7097/355/2771/7132/3553/1432/1147/5515/2776/7046/5293/5296/10000/3725/916/5603/5290/2769/55844/8517/7189" 35
