	pvalue_Dis	padj_Dis	log2FoldChange_Dis	baseMean_raw.Case_Dis	baseMean_raw.Control_Dis	pvalue_Rep	padj_Rep	log2FoldChange_Rep	baseMean_raw.Case_Rep	baseMean_raw.Control_Rep	Direction
chr22_21829620_21829800_plus	0.00059327	0.029457485	0.209895718	16.52477064	14.30324074	0.0004396406909708	0.0039951292807773	0.192171278549651	12.786301369863	11.8850574712644	1
chr1_220788320_220788480_plus	0.000206573	0.01813852	0.208660649	12.63669725	10.375	5.23325913961668e-05	0.0008212652302587	0.216888058300129	9.67397260273973	8.3632183908046	1
chr12_10235240_10235890_plus	3.27e-06	0.003733768	0.20854841	53.22018349	43.99768519	1.51046738031684e-10	6.24206638834111e-08	0.250971726201802	41.7767123287671	36.2620689655172	1
chr6_28253840_28255190_plus	1.33e-05	0.00555715	0.206234927	130.9137615	111.7476852	1.38882596461782e-13	5.16544056983213e-10	0.323774759009375	106.457534246575	88.0390804597701	1
chr5_10503360_10503620_plus	0.000483793	0.026639709	0.205401542	20.50825688	16.21527778	0.0021079893506393	0.0127453559553867	0.162809895190594	15.3739726027397	13.8229885057471	1
chr12_31956900_31957570_minus	2.98e-07	0.00163096	0.203342626	221.5100917	182.1342593	1.69095403067536e-12	3.0033093288633705e-09	0.263448906589067	151.352054794521	129.372413793103	1
chr20_47763750_47764130_minus	5.07e-06	0.004122925	0.202665446	90.03302752	65.11574074	0.0003528600937059	0.0034010078401263	0.132298951096592	66.3945205479452	60.4919540229885	1
chr5_173778830_173779360_plus	0.00041933	0.024866684	0.201663292	55.53027523	47.05787037	0.0001064741203871	0.0013683989525437	0.208102986668297	47.0356164383562	41.1333333333333	1
chr12_64737620_64737740_plus	0.00022183	0.018754379	0.201492261	10.17798165	8.627314815	0.0061892197146091	0.0288276867135977	0.13745855352438	8.97260273972603	8.46666666666667	1
chr14_64760860_64761030_plus	9.77e-05	0.013346804	0.200959092	13.1412844	10.53240741	2.60426537044065e-06	8.72613242206206e-05	0.220073335767333	11.2178082191781	9.95172413793103	1
chr10_71726730_71726840_minus	0.000301664	0.021886647	0.200626548	19.78899083	14.66203704	0.0026175432737535	0.0150336949331949	0.143631627612516	15.7328767123288	14.6620689655172	1
chr14_77039180_77040140_minus	0.000347518	0.02317289	0.199493549	221.853211	170.0833333	0.0002264203025894	0.0024268639678532	0.194597828847353	149.182191780822	133.903448275862	1
chr14_68932350_68932610_minus	7.46e-06	0.004787711	0.19907218	49.59633028	39.62268519	0.0038809371356458	0.0203710077271252	0.104321451261209	39.2534246575342	36.8068965517241	1
chr5_89441030_89441220_plus	0.000115212	0.01386153	0.198270249	18.8587156	16.3587963	1.51782235217158e-08	2.12454327627887e-06	0.268986681465551	15.1890410958904	13.1563218390805	1
chr2_37347370_37352090_plus	1e-05	0.005055719	0.198217842	555.012844	467.7569444	6.21838194175796e-12	5.39651912845561e-09	0.276777818214103	425.17397260274	357.305747126437	1
chr5_10446210_10446340_plus	0.000368472	0.023403555	0.197854155	10.15229358	8.506944444	1.34142218134077e-07	1.00356110606917e-05	0.282109829036899	8.22876712328767	7.06436781609195	1
chr12_10245850_10245980_plus	0.00127202	0.044504945	0.197794676	11.70458716	9.469907407	0.0285817066224382	0.0898809918969898	0.130092655842005	8.7013698630137	7.93793103448276	1
chr7_102890020_102891830_minus	1.6e-05	0.005910677	0.196091123	442.0220183	363.7916667	4.58536929378623e-06	0.0001335347757983	0.187569795695451	298.06301369863	261.248275862069	1
chr22_42421100_42422310_minus	0.000143901	0.015228159	0.195899686	245.693578	175.1458333	0.0009059246120568	0.0068226055177611	0.129935789124062	227.984931506849	212.694252873563	1
chr20_1854360_1854750_minus	3.9e-05	0.008386884	0.194801904	69.80366972	53.08101852	0.0074316488303162	0.0331590363834249	0.1050411912875	53.1041095890411	49.6597701149425	1
chr5_89437180_89439080_plus	8.81e-06	0.005055719	0.193891173	185.2788991	158.3402778	5.0174373976062e-13	1.06322334404754e-09	0.282314460133578	156.305479452055	132.749425287356	1
chr12_68787830_68788020_plus	0.000360963	0.023221305	0.193280919	14.88990826	12.74074074	0.0003601716469496	0.0034525290236875	0.179666040690291	16.3191780821918	14.416091954023	1
chr6_41224810_41225050_minus	0.000118098	0.013959034	0.192788769	48.05688073	39.60648148	0.0012644530160718	0.0086997976409698	0.154294509101357	33.5068493150685	30.4183908045977	1
chr16_66224120_66224250_minus	6.39e-05	0.010619297	0.191963605	26.08440367	21.31481481	1.04914408523615e-08	1.62586108685257e-06	0.257033739362164	21.886301369863	19.0275862068966	1
chrX_30593610_30593730_minus	7.36e-05	0.011650594	0.190560918	22.08990826	18.35416667	0.0006464046150164	0.0053139072156464	0.148027710773117	17.4780821917808	15.7218390804598	1
chr5_140274570_140276610_plus	3.21e-06	0.003733768	0.190305639	184.4678899	148.7314815	0.0134562672471449	0.0518534003355126	0.0908475213476801	147.878082191781	140.910344827586	1
chr18_77001250_77001370_minus	1.38e-06	0.002464159	0.188833323	23.64036697	19.25925926	0.0018596577293528	0.0115857271560702	0.109644614395852	18.613698630137	17.6367816091954	1
chr20_665590_672580_plus	7.94e-05	0.012119449	0.18724433	1459.805505	1113.180556	5.81140455179417e-05	0.0008896852839086	0.161769383845832	1164.74794520548	1047.6367816092	1
chr2_112680690_112681800_plus	3.89e-05	0.008386884	0.18700854	104.453211	91.51851852	6.530842551440811e-14	3.40060971653523e-10	0.334047123441717	86.5095890410959	73.0459770114943	1
chr10_6204630_6206400_plus	0.000148097	0.015251553	0.186710031	206.1577982	164.3333333	0.0004599775980901	0.0041110596520003	0.157027658797536	163.287671232877	151.114942528736	1
chr5_150514690_150515940_plus	0.000239351	0.019703161	0.186498766	123.5963303	94.79398148	0.0310203822861991	0.0953051277815899	0.100272561233017	86.6684931506849	78.6114942528736	1
chr19_5154300_5155690_plus	8.74e-08	0.000728673	0.18618712	141.2220183	110.1458333	0.0007773320696064	0.0060872982096804	0.104198236762407	94.6164383561644	90.5080459770115	1
chr14_68915330_68915540_minus	8.4e-07	0.002102126	0.185337719	57.94678899	46.49074074	0.0160776646418339	0.0589469087382263	0.0807636816665549	42.0438356164384	40.4988505747126	1
chr12_10228410_10229760_plus	6.14e-07	0.002082256	0.185285786	169.5174312	143.5439815	5.199961609794759e-13	1.06322334404754e-09	0.248196189247594	125.572602739726	107.475862068966	1
chr7_131121800_131122290_plus	5.81e-05	0.01024533	0.185280618	45.80366972	38.10185185	1.79021917359498e-06	6.63936697785547e-05	0.203599712147257	34.9246575342466	31.3241379310345	1
chr5_140272680_140273080_plus	0.000258068	0.02037268	0.185113995	36.63853211	30.41666667	0.0350192661570326	0.104161612521232	0.0969828675248374	26.0123287671233	24.6252873563218	1
chr1_21337730_21337840_minus	0.000181091	0.016846834	0.184153541	23.23302752	17.93981481	0.0004948034193427	0.0043272445490724	0.142624391485085	18.472602739726	16.9770114942529	1
chr6_158657000_158657850_plus	7.18e-07	0.002082256	0.183995525	93.21284404	74.40740741	0.0076127946479881	0.0337360184953824	0.0920197361415208	65.2712328767123	62.2206896551724	1
chr15_58506420_58506670_minus	0.000481149	0.026639709	0.183945674	51.33027523	44.22222222	4.86477872419716e-06	0.0001397952694089	0.225863748658056	37.2890410958904	33.4206896551724	1
chr9_91415450_91415620_minus	0.00010482	0.013451899	0.183668873	40.02385321	33.82638889	4.99355501386749e-06	0.0001425517596338	0.202170348580235	28.5479452054795	25.2206896551724	1
chrX_17549620_17550620_plus	0.000267497	0.020724769	0.183417575	86.98165138	71.13657407	0.000688577330708	0.0055608850865406	0.142777759638153	61.9205479452055	55.4114942528736	1
chr3_52226670_52226780_minus	8.62e-05	0.012469703	0.180097466	23.04036697	18.21527778	0.0005794087778341	0.0048929314080152	0.144797075939176	17.1534246575342	16.3172413793103	1
chr5_89436040_89436920_plus	0.000381622	0.023638857	0.178674184	80.28623853	69.09259259	1.72878619717626e-10	6.61896303580646e-08	0.286069084781668	64.2260273972603	54.5540229885057	1
chr16_84598300_84598780_plus	0.000430669	0.025240019	0.178500407	35.74862385	27.21064815	0.0402637318953229	0.115206754576847	0.0910883057356653	28.8958904109589	27.5632183908046	1
chr12_31950400_31950940_minus	5.45e-06	0.004122925	0.178420944	111.0770642	91.69444444	3.61430716432336e-08	3.95371794214953e-06	0.193914283340806	80.1561643835616	71.8712643678161	1
chr11_46127130_46127610_plus	0.00016056	0.015811637	0.178272935	37.84770642	33.02777778	2.23500781158055e-07	1.43928881973858e-05	0.22644329660026	29.3041095890411	26.7448275862069	1
chr20_47739180_47739380_minus	9.03e-05	0.012770306	0.178257075	39.86605505	31.19675926	0.0006029091950357	0.0050353298594903	0.132927592161768	28.9383561643836	26.432183908046	1
chr10_97517030_97517490_plus	0.000510404	0.027350901	0.178146273	43.9559633	34.62731481	0.0258325670670174	0.0834430376662279	0.0999596485894385	30.7150684931507	28.7448275862069	1
chr10_6375660_6387680_plus	9.81e-05	0.013346804	0.177591294	2357.900917	1941.0625	0.0351942606867013	0.104526873942308	0.0834165069502548	1762.94657534247	1638.43908045977	1
chr11_74450650_74450850_minus	3.43e-06	0.003733768	0.176504668	43.0146789	37.60648148	5.27632890873929e-07	2.72557982418705e-05	0.194483517073551	27.2575342465753	24.7563218390805	1
chr22_42418830_42420170_minus	0.000533432	0.028016063	0.175573492	371.7779817	264.5023148	0.0006395559781109	0.005269253129784	0.131385126622005	326.846575342466	304.866666666667	1
chr12_47889300_47889590_plus	0.000831056	0.034719841	0.175260634	24.97798165	22.18287037	0.0001484261693094	0.0017621947681162	0.198386275591696	20.1356164383562	18.3448275862069	1
chr7_102872940_102873990_minus	0.000289628	0.021380382	0.173983892	272.8513761	226.5324074	7.83122038064151e-05	0.0011061288852311	0.170086907829951	189.050684931507	166.174712643678	1
chr20_1819870_1820490_minus	4.05e-05	0.008462834	0.173600005	124.6366972	98.92361111	1.69448966108732e-06	6.37515004716885e-05	0.173880115465045	97.8958904109589	88.783908045977	1
chr20_1857520_1858170_minus	0.0002528	0.020276695	0.172981358	146.4788991	115.4375	0.0148342801860644	0.0557302286643849	0.0938747152520984	126.013698630137	118.452873563218	1
chr11_126419590_126420640_plus	1.23e-05	0.00555715	0.172969992	100.7302752	82.43981481	0.0014045601196148	0.0094246708026217	0.115681483129942	69.5438356164384	65.3333333333333	1
chr16_66207010_66207400_minus	2.43e-05	0.007249164	0.172577448	85.60733945	72.33564815	2.75750767705751e-07	1.6932007634951e-05	0.203561708286486	61.4041095890411	54.2850574712644	1
chr10_104349680_104350020_plus	0.000283578	0.021144066	0.172388979	36.18348624	31.2662037	0.0001990803372776	0.0022018082332296	0.169499505810072	24.4794520547945	22.8620689655172	1
chr4_184750860_184752860_minus	1.77e-05	0.006291956	0.172088797	561.6770642	465.2847222	0.0002449681584073	0.0025799943382422	0.136591705357405	394.230136986301	363.786206896552	1
chr22_42425040_42428280_minus	0.000330413	0.022828599	0.171938235	944.9100917	680.3449074	0.000779017280249	0.0060979299131945	0.12954338171175	780.482191780822	730.91724137931	1
chr15_69763780_69764340_plus	0.000543334	0.02813906	0.171349998	55.09174312	46.29861111	1.18282546136605e-06	4.92717774186643e-05	0.219216313854506	38.0767123287671	33.8528735632184	1
chr16_84598900_84600460_plus	1.79e-05	0.006291956	0.171098426	149.8165138	116.2523148	0.0016020220293901	0.0103778660201973	0.115203011997636	127.078082191781	119.057471264368	1
chr5_140222320_140224250_plus	8.31e-05	0.012323756	0.170345826	206.8844037	168.2592593	0.0015037605529725	0.0098989648537652	0.115637345434075	151.372602739726	142.744827586207	1
chr6_30497480_30497870_plus	0.000152263	0.015302717	0.169691355	37.93577982	32.75925926	1.57959345560005e-05	0.0003339279279331	0.180109074589187	31.0739726027397	28.1333333333333	1
chr21_37829250_37833740_plus	7.28e-05	0.01159825	0.169191118	1235.93211	1035.277778	5.06210912528705e-16	1.31792011076848e-11	0.294154294352166	972.698630136986	819.110344827586	1
chr5_160296290_160297650_minus	0.000264313	0.020605721	0.167699924	367.9045872	296.4444444	5.70889223623256e-05	0.0008773967495296	0.150810725083362	257.068493150685	233.409195402299	1
chr5_140284740_140285230_plus	0.000823736	0.034529297	0.167485309	40.14495413	33.63194444	0.0404307803510389	0.115570417922628	0.0936738171863581	32.0616438356164	30.351724137931	1
chr14_50939420_50939750_minus	0.000392615	0.023963867	0.167043062	90.27889908	75.94212963	1.86505896711455e-05	0.0003758267044026	0.179420596705584	63.6013698630137	57.3425287356322	1
chr1_59550240_59550630_plus	0.000147602	0.015251553	0.166075077	33.09541284	28.66435185	2.81200463180553e-05	0.0005105337558511	0.195388641743055	23.1246575342466	20.6206896551724	1
chr5_140250960_140254430_plus	7.61e-05	0.011909275	0.164875052	669.2807339	560.0833333	0.0458912981533423	0.126646167842089	0.0755310660203023	482.028767123288	462.489655172414	1
chr20_713430_716990_plus	0.000123688	0.014198555	0.16471708	517.0366972	430.3263889	0.0172806955807245	0.0621584566792157	0.0948940440276629	332.121917808219	316.333333333333	1
chr3_71759450_71759720_minus	0.001010051	0.039249276	0.164312413	54.17981651	44.66666667	0.0002366958038879	0.0025132036110211	0.165336885148592	39.6958904109589	36.5908045977012	1
chr16_66222400_66223260_minus	5.45e-05	0.009996911	0.164311632	216.9211009	181.9930556	1.6023388451009502e-09	3.86267516964845e-07	0.223346342938016	159.898630136986	140.797701149425	1
chr1_10385720_10385940_plus	0.000488088	0.026732463	0.163859017	24.8440367	20.71759259	0.0149217792205985	0.0559620458093174	0.122635664084997	15.0616438356164	13.9977011494253	1
chr19_3165620_3166750_plus	0.000928159	0.037044923	0.162885161	312.5394495	277.5717593	1.7259062105993002e-10	6.61896303580646e-08	0.29687472355149	255.857534246575	214.737931034483	1
chr5_140184150_140186640_plus	3.21e-05	0.008186118	0.162072044	284.0073394	239.3472222	0.0041479115251182	0.0214352672799631	0.101121186698488	196.612328767123	188.848275862069	1
chr10_6247940_6258940_plus	0.00029762	0.021714096	0.161428908	1615.576147	1333.256944	0.0293993222681827	0.0917979557750224	0.0831557761568911	1172.41095890411	1096.4367816092	1
chr15_63918370_63918610_minus	0.000136404	0.015228159	0.16131568	41.68256881	35.4837963	0.0001248038670685	0.0015466056053534	0.144138890598288	35.7945205479452	32.2781609195402	1
chr1_21340880_21341570_minus	2.33e-05	0.007019415	0.160690968	137.3449541	106.8125	8.44474433545664e-05	0.0011587849550292	0.122202321608636	116.571232876712	109.689655172414	1
chr15_69749690_69750690_minus	0.001399288	0.046751923	0.159654313	229.4293578	202.6134259	1.71298712564349e-08	2.31787016198953e-06	0.277134219745275	198.253424657534	176.503448275862	1
chr16_66225130_66225620_minus	0.000292503	0.021529054	0.159438095	89.95045872	76.16898148	2.34136075139919e-08	2.85878289593076e-06	0.223477814059977	78.2287671232877	68.6597701149425	1
chr20_1858280_1861550_minus	9.69e-05	0.013346804	0.15941669	778.1853211	641.1203704	0.0010108021021953	0.0073984348413425	0.112194646685091	594.524657534247	552.604597701149	1
chr7_23600510_23600650_plus	0.000182163	0.016883827	0.159184694	11.79449541	9.597222222	0.0073065860889427	0.0327356683575332	0.116235708519057	6.51369863013699	6.22068965517241	1
chr16_11613470_11613780_minus	0.001264902	0.044504945	0.158927214	72.31926606	64.13888889	2.50052430837546e-06	8.49884469563381e-05	0.222371431013486	60.941095890411	54.4022988505747	1
chr14_64761230_64761800_plus	0.000630767	0.030330666	0.158039777	50.82385321	41.57175926	1.49023161915322e-05	0.0003206461173938	0.180003178137822	37.7753424657534	34.4206896551724	1
chr4_184792060_184793540_minus	0.001177303	0.042743436	0.157991276	467.5412844	382.1643519	0.004185349736537	0.0215717900049551	0.123461854260017	317.154794520548	292.735632183908	1
chr2_191739600_191740450_plus	0.000996567	0.038946686	0.15798553	92.2733945	80.20601852	4.50863918313035e-08	4.56740938259917e-06	0.249194313523856	73.3027397260274	63.3379310344828	1
chr5_89441390_89441850_plus	0.001374869	0.046244748	0.157900503	38.5559633	33.8287037	7.81782683833783e-10	2.2869339520913e-07	0.285833056629634	29.1164383561644	24.9287356321839	1
chr5_160272510_160272740_minus	0.000594961	0.029482982	0.1575681	47.22568807	39.31712963	1.90538040411097e-05	0.0003810684112387	0.177500092274536	33.6986301369863	30.0804597701149	1
chr1_33346490_33347170_minus	0.001443369	0.047589327	0.156527358	152.440367	124.2847222	0.0002465285278134	0.0025884139211899	0.157044182127562	109.26301369863	100.177011494253	1
chr15_69757870_69763640_plus	4.28e-05	0.008629282	0.15593548	777.2330275	670.2013889	6.03890543188347e-08	5.61510367568165e-06	0.199841199812356	590.056164383562	535.820689655172	1
chr11_188460_189350_minus	5.75e-05	0.01024533	0.155363678	480.3651376	424.0810185	4.97382080591445e-09	9.3835814986944e-07	0.201590756426206	315.604109589041	284.606896551724	1
chr3_155185750_155191590_plus	0.000213788	0.018576571	0.155354346	860.6899083	717.6666667	4.38908030660677e-07	2.39057961888091e-05	0.185757814428751	669.868493150685	582.990804597701	1
chr4_139031400_139031570_minus	2.46e-05	0.007249164	0.155263836	28.63486239	24.85185185	1.95130013796245e-06	7.03630181327597e-05	0.150571215521762	27.2876712328767	25.5425287356322	1
chr2_71471140_71477980_plus	0.000179519	0.016825701	0.155181427	864.7559633	716.9837963	5.46877362397913e-05	0.0008510431637794	0.145600767297463	670.641095890411	612.813793103448	1
chr15_79961850_79963360_minus	1.97e-05	0.00641856	0.154416276	451.8770642	391.7546296	0.000177990904076	0.0020226945384631	0.140674687815367	300.593150684932	278.659770114943	1
chr12_98637970_98638140_minus	5.62e-05	0.010194047	0.154187697	31.53577982	26.9537037	5.83929529184298e-07	2.91796646685474e-05	0.163737219511116	28.0520547945205	25.3241379310345	1
chr19_18488580_18490710_minus	0.000286207	0.021190307	0.154105419	449.4495413	329.349537	0.0381154810447805	0.110566746406781	0.0650009142159135	392.623287671233	380.64367816092	1
chr5_89450450_89450810_plus	0.00116725	0.042518834	0.154048846	39.19082569	34.9837963	4.56963227381994e-07	2.46826506740461e-05	0.231626067233266	26.4383561643836	23.416091954023	1
chr5_100800610_100801390_minus	0.000142864	0.015228159	0.153857938	162.3577982	145.4143519	2.88852826563243e-12	3.9228644017057e-09	0.24652686962489	127.667123287671	114.898850574713	1
chr19_14635730_14635980_minus	0.00065774	0.031192496	0.153216137	50.64587156	44.00925926	6.89766469391294e-08	6.25716725804959e-06	0.227055341319443	45.4232876712329	39.3103448275862	1
chr17_3911050_3911510_minus	0.001503745	0.048808331	0.152539691	88.20733945	70.01851852	0.0436035696188694	0.121883072259745	0.0835537316904774	71.5767123287671	68.0666666666667	1
chr15_79963530_79964660_minus	8.92e-05	0.012685458	0.15250171	299.1669725	259.4976852	0.0005757460073642	0.0048746495290174	0.132712042812458	205.512328767123	191.731034482759	1
chr10_45472340_45475290_plus	0.000145202	0.015251553	0.152225878	428.2697248	360.3564815	0.0002493013867437	0.002609380635202	0.137332674421979	316.865753424658	289.933333333333	1
chr10_132625930_132628850_plus	5.76e-06	0.004122925	0.152154374	329.4587156	254.3078704	0.0241132362816153	0.0792261618616676	0.0593239835272037	251.823287671233	245.898850574713	1
chr17_3911970_3913120_minus	0.000676314	0.031414487	0.152062848	271.359633	219.1921296	0.0216595927129577	0.0731656740049893	0.0892385059510634	236.023287671233	223.6	1
chr5_140216220_140221140_plus	0.000191054	0.017394283	0.151834371	552.3486239	460.2708333	0.0047192351059918	0.0236052422640728	0.0953655710188109	398.697260273973	376.675862068966	1
chr4_83552520_83553000_plus	0.000561584	0.028506351	0.150589948	45.71926606	37.78935185	0.000566169017831	0.0048107736224647	0.138892269178979	32.4424657534247	30.0781609195402	1
chr19_50023390_50023800_minus	0.000424014	0.025025809	0.150577723	78.48807339	71.26157407	1.72955016565516e-07	1.20076902834219e-05	0.214892359460211	64.1739726027397	58.6275862068966	1
chr22_21831240_21831770_plus	0.00030663	0.021886647	0.150264601	36.69541284	31.3287037	0.0001093776733434	0.0013972756258565	0.152038859701789	30.1808219178082	28.2068965517241	1
chrX_17689530_17691110_plus	3.5e-05	0.008386884	0.150178671	140.4293578	122.7476852	2.07642542916043e-11	1.42262463284715e-08	0.225977885247038	110.006849315068	96.4919540229885	1
chr15_69766220_69775140_plus	0.000343121	0.02317289	0.149589166	1512.282569	1357.5	8.889612613028661e-10	2.4621389827681e-07	0.23832676169281	1336.51917808219	1200.14252873563	1
chr21_37822460_37829140_plus	0.00019808	0.017640397	0.149505642	2075.449541	1776.914352	3.14456229357784e-14	2.04671698283247e-10	0.260446372150574	1648.61095890411	1405.22298850575	1
chr10_104321100_104321240_minus	0.000737128	0.032706776	0.149472285	26.38899083	21.65046296	2.09025351499076e-06	7.46470866559913e-05	0.195336003231146	20.2397260273973	18.1494252873563	1
chr20_49295160_49296920_plus	0.000170695	0.016303946	0.148483334	149.6568807	127.0416667	5.27543735764075e-07	2.72557982418705e-05	0.177207630790082	117.957534246575	108.944827586207	1
chr4_40765270_40772190_plus	4.92e-05	0.009262561	0.148383802	872.6770642	723.9699074	0.0001249284266586	0.0015466056053534	0.131363662303003	584.21095890411	534.016091954023	1
chr2_174523480_174524050_minus	0.000505567	0.027208179	0.148205906	145.6899083	120.8101852	0.0397940945106225	0.114214447203622	0.0773451607954045	98.3794520547945	96.0137931034483	1
chr17_21249740_21251320_minus	0.000283505	0.021144066	0.148167066	427.1211009	347.6226852	1.55271287520427e-11	1.12291332516509e-08	0.239775102506748	369.03698630137	319.393103448276	1
chr6_24942250_24945730_plus	0.000391436	0.023950339	0.148143366	666.959633	578.6828704	1.40515202056241e-10	5.90050529924876e-08	0.241127888003525	515.93698630137	454.597701149425	1
chr17_78995820_78995950_minus	0.000162482	0.015811637	0.147620242	26.97247706	22.28935185	0.0364943570005011	0.10726242769339	0.0724371882346965	21.3520547945205	21.2045977011494	1
chr6_158678550_158679060_plus	3.81e-05	0.008386884	0.147330437	43.51926606	36.21527778	0.0253941937517481	0.0823642499472731	0.0768872219289266	33.6	31.9954022988506	1
chr5_10452740_10455140_plus	0.000147674	0.015251553	0.14722414	312.8825688	255.9768519	8.25584871436797e-05	0.0011420883171018	0.146213221477328	225.086301369863	205.0	1
